frequency,mag_dB,phase_deg
2.187761623949551790e+02,-4.999999999505506665e-01,-4.431732284289841006e-02
2.233572222830530336e+02,-4.999999999484750490e-01,-4.524530489346254708e-02
2.280342072000416351e+02,-4.999999999463156652e-01,-4.619271842130216743e-02
2.328091257665007845e+02,-4.999999999440643550e-01,-4.715997031230462211e-02
2.376840286624875773e+02,-4.999999999417201191e-01,-4.814747597238803328e-02
2.426610095082414205e+02,-4.999999999392767402e-01,-4.915565950590963795e-02
2.477422057633283714e+02,-4.999999999367332748e-01,-5.018495389781003901e-02
2.529297996446144623e+02,-4.999999999340846157e-01,-5.123580119957164836e-02
2.582260190634595460e+02,-4.999999999313246013e-01,-5.230865271907120251e-02
2.636331385825378675e+02,-4.999999999284512331e-01,-5.340396921440826450e-02
2.691534803926913924e+02,-4.999999999254603478e-01,-5.452222109179223619e-02
2.747894153102394625e+02,-4.999999999223458946e-01,-5.566388860757351398e-02
2.805433637951713308e+02,-4.999999999191028222e-01,-5.682946207450545462e-02
2.864177969906579619e+02,-4.999999999157257458e-01,-5.801944207232535844e-02
2.924152377843333852e+02,-4.999999999122098915e-01,-5.923433966274566781e-02
2.985382618917957416e+02,-4.999999999085489311e-01,-6.047467660894711300e-02
3.047894989627982909e+02,-4.999999999047378685e-01,-6.174098559966829936e-02
3.111716337106016681e+02,-4.999999999007704865e-01,-6.303381047798793657e-02
3.176874070649769237e+02,-4.999999998966417336e-01,-6.435370647489840890e-02
3.243396173493489982e+02,-4.999999998923443933e-01,-6.570124044777048145e-02
3.311311214825910838e+02,-4.999999998878713603e-01,-6.707699112381190765e-02
3.380648362059815213e+02,-4.999999998832185821e-01,-6.848154934862413223e-02
3.451437393358560826e+02,-4.999999998783737909e-01,-6.991551833996487164e-02
3.523708710424869537e+02,-4.999999998733318241e-01,-7.137951394682448547e-02
3.597493351557419032e+02,-4.999999998680855207e-01,-7.287416491392784135e-02
3.672823004980846235e+02,-4.999999998626288855e-01,-7.440011315177579021e-02
3.749730022454833716e+02,-4.999999998569536475e-01,-7.595801401234121564e-02
3.828247433168224347e+02,-4.999999998510484822e-01,-7.754853657053975557e-02
3.908408957924016818e+02,-4.999999998449053962e-01,-7.917236391159426789e-02
3.990249023621420292e+02,-4.999999998385171174e-01,-8.083019342441799537e-02
4.073802778041126089e+02,-4.999999998318735428e-01,-8.252273710114145511e-02
4.159106104940219097e+02,-4.999999998249653466e-01,-8.425072184291299004e-02
4.246195639463126099e+02,-4.999999998177803717e-01,-8.601488977210280940e-02
4.335108783875289191e+02,-4.999999998103143994e-01,-8.781599855104635366e-02
4.425883723626264441e+02,-4.999999998025502768e-01,-8.965482170746214008e-02
4.518559443749221600e+02,-4.999999997944826746e-01,-9.153214896668626643e-02
4.613175745603790574e+02,-4.999999997860964940e-01,-9.344878659086383599e-02
4.709773263969524351e+02,-4.999999997773832972e-01,-9.540555772524517142e-02
4.808393484497285044e+02,-4.999999997683300945e-01,-9.740330275173432473e-02
4.909078761526029098e+02,-4.999999997589285039e-01,-9.944287964984219186e-02
5.011872336272719508e+02,-4.999999997491622050e-01,-1.015251643652003710e-01
5.116818355403073042e+02,-4.999999997390180417e-01,-1.036510511857924033e-01
5.223961889991197722e+02,-4.999999997284877429e-01,-1.058214531260653485e-01
5.333348954876207699e+02,-4.999999997175569866e-01,-1.080373023190865783e-01
5.445026528424208436e+02,-4.999999997062085089e-01,-1.102995504169146240e-01
5.559042572704031500e+02,-4.999999996944320402e-01,-1.126091689993553441e-01
5.675446054085471133e+02,-4.999999996822163117e-01,-1.149671499912802153e-01
5.794286964268809470e+02,-4.999999996695450033e-01,-1.173745060886849795e-01
5.915616341754737277e+02,-4.999999996564037374e-01,-1.198322711936738588e-01
6.039486293763793583e+02,-4.999999996427815230e-01,-1.223415008585539004e-01
6.165950018614815917e+02,-4.999999996286618176e-01,-1.249032727392321851e-01
6.295061828571974729e+02,-4.999999996140271907e-01,-1.275186870581101195e-01
6.426877173170194055e+02,-4.999999995988685941e-01,-1.301888670766740697e-01
6.561452663029050427e+02,-4.999999995831727606e-01,-1.329149595779862969e-01
6.698846094165257909e+02,-4.999999995669171526e-01,-1.356981353592822126e-01
6.839116472814293957e+02,-4.999999995500976069e-01,-1.385395897348874195e-01
6.982324040771711680e+02,-4.999999995326980251e-01,-1.414405430496691596e-01
7.128530301265191156e+02,-4.999999995147017540e-01,-1.444022412032459068e-01
7.277798045368234625e+02,-4.999999994960957483e-01,-1.474259561851773148e-01
7.430191378967014089e+02,-4.999999994768716816e-01,-1.505129866213670287e-01
7.585775750291835493e+02,-4.999999994570133444e-01,-1.536646583319120074e-01
7.744617978025183902e+02,-4.999999994365145195e-01,-1.568823249006414677e-01
7.906786279998244709e+02,-4.999999994153609406e-01,-1.601673682565852574e-01
8.072350302488373472e+02,-4.999999993935465570e-01,-1.635211992676280091e-01
8.241381150130021069e+02,-4.999999993710588786e-01,-1.669452583465996509e-01
8.413951416451947125e+02,-4.999999993478960736e-01,-1.704410160700658705e-01
8.590135215053951470e+02,-4.999999993240519802e-01,-1.740099738100855664e-01
8.770008211436339707e+02,-4.999999992995214360e-01,-1.776536643792039627e-01
8.953647655495936988e+02,-4.999999992743044963e-01,-1.813736526889635770e-01
9.141132414702498181e+02,-4.999999992484052136e-01,-1.851715364222120408e-01
9.332543007969903783e+02,-4.999999992218224776e-01,-1.890489467195017315e-01
9.527961640236511585e+02,-4.999999991945687228e-01,-1.930075488798713990e-01
9.727472237769650292e+02,-4.999999991666520538e-01,-1.970490430763159884e-01
9.931160484209334527e+02,-4.999999991380897901e-01,-2.011751650862498852e-01
1.013911385736678881e+03,-4.999999991088921458e-01,-2.053876870372821073e-01
1.035142166679343063e+03,-4.999999990790908733e-01,-2.096884181686208271e-01
1.056817509213657331e+03,-4.999999990487123958e-01,-2.140792056084378503e-01
1.078946722229828538e+03,-4.999999990177915743e-01,-2.185619351675286703e-01
1.101539309541414468e+03,-4.999999989863651018e-01,-2.231385321496078267e-01
1.124604973966925627e+03,-4.999999989544871015e-01,-2.278109621785932015e-01
1.148153621496881669e+03,-4.999999989222138064e-01,-2.325812320432319169e-01
1.172195365548130439e+03,-4.999999988896096648e-01,-2.374513905594353158e-01
1.196740531307243145e+03,-4.999999988567480069e-01,-2.424235294506923988e-01
1.221799660164871057e+03,-4.999999988237158188e-01,-2.474997842469468246e-01
1.247383514242942056e+03,-4.999999987906140753e-01,-2.526823352023190861e-01
1.273503081016661554e+03,-4.999999987575522997e-01,-2.579734082320755961e-01
1.300169578033290009e+03,-4.999999987246579458e-01,-2.633752758692452511e-01
1.327394457729738861e+03,-4.999999986920700690e-01,-2.688902582413017495e-01
1.355189412351035116e+03,-4.999999986599530377e-01,-2.745207240673293025e-01
1.383566378971779613e+03,-4.999999986284847653e-01,-2.802690916761041429e-01
1.412537544622754012e+03,-4.999999985978642036e-01,-2.861378300455340584e-01
1.442115351524868174e+03,-4.999999985683182269e-01,-2.921294598639023743e-01
1.472312502432717793e+03,-4.999999985400992442e-01,-2.982465546133795109e-01
1.503141966090020787e+03,-4.999999985134797598e-01,-3.044917416762671358e-01
1.534616982799294192e+03,-4.999999984887765758e-01,-3.108677034644570791e-01
1.566751070108148497e+03,-4.999999984663258124e-01,-3.173771785725904016e-01
1.599558028614667819e+03,-4.999999984465123282e-01,-3.240229629554232660e-01
1.633051947894332898e+03,-4.999999984297571753e-01,-3.308079111299018216e-01
1.667247212551062603e+03,-4.999999984165292566e-01,-3.377349374024726236e-01
1.702158508394950104e+03,-4.999999984073380532e-01,-3.448070171221578328e-01
1.737800828749374432e+03,-4.999999984027557742e-01,-3.520271879599445319e-01
1.774189480890164532e+03,-4.999999984034084743e-01,-3.593985512150359440e-01
1.811340092619600682e+03,-4.999999984099857131e-01,-3.669242731485372611e-01
1.849268618978077939e+03,-4.999999984232504913e-01,-3.746075863451557852e-01
1.887991349096292652e+03,-4.999999984440363088e-01,-3.824517911035025253e-01
