 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 1.34375797e-05  4.06665241e-01  1.09333476e+00  8.32007473e-02  1.41679925e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07383197e-01  1.85153589e-01 
 1.34375922e-05  4.06671801e-01  1.09332820e+00  8.31973695e-02  1.41680263e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07399253e-01  1.85680764e-01 
 1.34376067e-05  4.06679363e-01  1.09332064e+00  8.31934764e-02  1.41680652e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07415560e-01  1.86287215e-01 
 1.34376176e-05  4.06685039e-01  1.09331496e+00  8.31905537e-02  1.41680945e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07430684e-01  1.86741688e-01 
 1.34376289e-05  4.06690950e-01  1.09330905e+00  8.31875104e-02  1.41681249e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07452789e-01  1.87214197e-01 
 1.34376414e-05  4.06697480e-01  1.09330252e+00  8.31841485e-02  1.41681585e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07484076e-01  1.87735325e-01 
 1.34376516e-05  4.06702793e-01  1.09329721e+00  8.31814132e-02  1.41681859e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07530150e-01  1.88158679e-01 
 1.34376634e-05  4.06708956e-01  1.09329104e+00  8.31782405e-02  1.41682176e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07642317e-01  1.88649118e-01 
 1.34376746e-05  4.06714793e-01  1.09328521e+00  8.31752353e-02  1.41682476e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07877735e-01  1.89113223e-01 
 1.34376827e-05  4.06719038e-01  1.09328096e+00  8.31730503e-02  1.41682695e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.08318218e-01  1.89450876e-01 
 1.34376897e-05  4.06722711e-01  1.09327729e+00  8.31711594e-02  1.41682884e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.09001497e-01  1.89743528e-01 
 1.34376974e-05  4.06726698e-01  1.09327330e+00  8.31691066e-02  1.41683089e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.10058900e-01  1.90061695e-01 
 1.34377046e-05  4.06730459e-01  1.09326954e+00  8.31671709e-02  1.41683283e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.10967130e-01  1.90361136e-01 
 1.34377153e-05  4.06736032e-01  1.09326397e+00  8.31643019e-02  1.41683570e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.08843496e-01  1.90795569e-01 
 1.34377258e-05  4.06741522e-01  1.09325848e+00  8.31614760e-02  1.41683852e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.94527270e-01  1.91191757e-01 
 1.34377328e-05  4.06745194e-01  1.09325481e+00  8.31595855e-02  1.41684041e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.78473168e-01  1.91440098e-01 
 1.34377403e-05  4.06749112e-01  1.09325089e+00  8.31575687e-02  1.41684243e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.58805753e-01  1.91698458e-01 
 1.34377474e-05  4.06752826e-01  1.09324717e+00  8.31556574e-02  1.41684434e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.39851481e-01  1.91942441e-01 
 1.34377551e-05  4.06756821e-01  1.09324318e+00  8.31536007e-02  1.41684640e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.20082460e-01  1.92206535e-01 
 1.34377624e-05  4.06760617e-01  1.09323938e+00  8.31516471e-02  1.41684835e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  3.02158505e-01  1.92459516e-01 
 1.34377708e-05  4.06765018e-01  1.09323498e+00  8.31493816e-02  1.41685062e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  2.82520701e-01  1.92755709e-01 
 1.34377809e-05  4.06770286e-01  1.09322971e+00  8.31466701e-02  1.41685333e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  2.60700805e-01  1.93114357e-01 
 1.34377962e-05  4.06778276e-01  1.09322172e+00  8.31425578e-02  1.41685744e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  2.31150158e-01  1.93666896e-01 
 1.34378198e-05  4.06790611e-01  1.09320939e+00  8.31362094e-02  1.41686379e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.93487226e-01  1.94538856e-01 
 1.34378504e-05  4.06806576e-01  1.09319342e+00  8.31279928e-02  1.41687201e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.57129072e-01  1.95695917e-01 
 1.34379019e-05  4.06833460e-01  1.09316654e+00  8.31141582e-02  1.41688584e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  1.18670341e-01  1.97692159e-01 
 1.34379578e-05  4.06862646e-01  1.09313735e+00  8.30991405e-02  1.41690086e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  9.75113238e-02  1.99895044e-01 
 1.34380196e-05  4.06894938e-01  1.09310506e+00  8.30825263e-02  1.41691747e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.74418269e-02  2.02343770e-01 
 1.34380897e-05  4.06931545e-01  1.09306845e+00  8.30636948e-02  1.41693631e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.36202595e-02  2.05108398e-01 
 1.34381752e-05  4.06976154e-01  1.09302385e+00  8.30407502e-02  1.41695925e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.27820507e-02  2.08441445e-01 
 1.34382873e-05  4.07034689e-01  1.09296531e+00  8.30106479e-02  1.41698935e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  8.31220312e-02  2.12740861e-01 
