 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.03571569e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  2.10838833e-01  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11396143e+00 -2.13745113e-01 
 8.03571717e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  4.32417854e-01  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11401295e+00 -2.13672642e-01 
 8.03572012e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  8.75575896e-01  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11411589e+00 -2.13527658e-01 
 8.03572429e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  1.11426074e+00 -2.13323272e-01 
 8.03572488e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.41136839e+00  1.11428127e+00 -2.13294251e-01 
 8.03572606e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  1.23410517e+00  1.11432234e+00 -2.13236204e-01 
 8.03572842e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  8.79578741e-01  1.11440448e+00 -2.13120082e-01 
 8.03573180e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  3.73573972e-01  1.11452166e+00 -2.12954281e-01 
 8.03573429e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  8.41602343e-11  1.11460808e+00 -2.12831827e-01 
 8.03573486e-06  1.50000000e+00  2.22044605e-16  1.50000000e+00  2.22044605e-16  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.11462786e+00 -2.12803784e-01 
