time,vinp,vinn,voutp,voutn,vout
8.038071430000000083e-06,1.425000000000000044e+00,1.499999999999999944e-01,9.140950839999999467e-01,5.884751870000000107e-01,3.256198980000000187e-01
8.038074349999999664e-06,1.420611429999999897e+00,1.543885730000000012e-01,9.140943200000000157e-01,5.884758450000000529e-01,3.256184750000000183e-01
8.038080210000000169e-06,1.411834280000000108e+00,1.631657199999999863e-01,9.140927909999999601e-01,5.884771619999999981e-01,3.256156290000000175e-01
8.038091909999999836e-06,1.394279990000000025e+00,1.807200120000000132e-01,9.140897340000000426e-01,5.884797959999999994e-01,3.256099379999999877e-01
8.038115309999999169e-06,1.359171399999999919e+00,2.158285980000000104e-01,9.140836190000000139e-01,5.884850640000000022e-01,3.255985550000000117e-01
8.038162129999999178e-06,1.288954230000000090e+00,2.860457690000000053e-01,9.140713889999999564e-01,5.884956009999999793e-01,3.255757890000000043e-01
8.038255749999999547e-06,1.148519889999999988e+00,4.264801109999999951e-01,9.140469260000000373e-01,5.885166760000000163e-01,3.255302500000000210e-01
8.038442990000000285e-06,8.676512060000000082e-01,7.073487939999999474e-01,9.139979889999999552e-01,5.885588370000000014e-01,3.254391509999999821e-01
8.038764140000000797e-06,3.859305940000000157e-01,1.189069410000000104e+00,9.139140199999999936e-01,5.886311770000000054e-01,3.252828429999999882e-01
8.039009119999999652e-06,1.845697550000000020e-02,1.500000000000000000e+00,9.138499359999999738e-01,5.886863869999999777e-01,3.251635489999999962e-01
8.039168509999999526e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.138082299999999991e-01,5.887223169999999950e-01,3.250859119999999769e-01
8.039355519999999219e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.137592780000000081e-01,5.887644890000000020e-01,3.249947890000000061e-01
8.039536470000000222e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.137118990000000496e-01,5.888053060000000283e-01,3.249065939999999930e-01
8.039898360000000710e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.136170959999999619e-01,5.888869749999999792e-01,3.247301209999999827e-01
8.040270959999999602e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.135194199999999709e-01,5.889711079999999654e-01,3.245483120000000055e-01
8.040881059999999863e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.133593209999999463e-01,5.891089659999999562e-01,3.242503549999999901e-01
8.041688680000000036e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.131470699999999496e-01,5.892916510000000274e-01,3.238554189999999777e-01
8.043303920000000382e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.127216449999999703e-01,5.896579189999999748e-01,3.230637259999999955e-01
8.044652859999999920e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123655370000000042e-01,5.899648929999999902e-01,3.224006440000000140e-01
8.044653859999999313e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123652730000000322e-01,5.899651209999999812e-01,3.224001519999999954e-01
8.044655859999999792e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123647440000000053e-01,5.899655759999999916e-01,3.223991680000000137e-01
8.044659860000000749e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123636870000000343e-01,5.899664879999999556e-01,3.223971990000000232e-01
8.044662860000000620e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123628940000000354e-01,5.899671720000000397e-01,3.223957219999999957e-01
8.044663660000000134e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123626830000000076e-01,5.899673539999999994e-01,3.223953279999999810e-01
8.044665259999999162e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123622599999999805e-01,5.899677190000000016e-01,3.223945409999999789e-01
8.044668460000000605e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123614140000000372e-01,5.899684490000000059e-01,3.223929660000000030e-01
8.044674860000000104e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123597230000000113e-01,5.899699069999999601e-01,3.223898159999999957e-01
8.044687660000000796e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123563399999999879e-01,5.899728250000000340e-01,3.223835150000000094e-01
8.044713260000000487e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123495750000000237e-01,5.899786609999999598e-01,3.223709129999999812e-01
8.044764459999999867e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123360430000000409e-01,5.899903349999999769e-01,3.223457080000000086e-01
8.044866860000000322e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.123089760000000492e-01,5.900136860000000372e-01,3.222952889999999848e-01
8.045071659999999538e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.122548310000000438e-01,5.900604099999999796e-01,3.221944210000000086e-01
8.045481259999999663e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.121464959999999733e-01,5.901539369999999618e-01,3.219925590000000115e-01
8.046300459999999915e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.119296089999999744e-01,5.903412770000000531e-01,3.215883310000000050e-01
8.046459859999999614e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.118873709999999466e-01,5.903777730000000501e-01,3.215095980000000075e-01
8.046509859999999723e-06,-0.000000000000000000e+00,1.500000000000000000e+00,9.118741190000000385e-01,5.903892240000000458e-01,3.214848949999999927e-01
