 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 2.50280000e-03  8.84167190e-01  8.84192487e-01  8.20173295e-01 
 2.51280000e-03  8.27695710e-01  8.27712668e-01  8.20173294e-01 
 2.52280000e-03  7.71509582e-01  7.71521244e-01  8.20173292e-01 
 2.53280000e-03  7.15830547e-01  7.15839245e-01  8.20173291e-01 
 2.54280000e-03  6.60878345e-01  6.60885277e-01  8.20173290e-01 
 2.55280000e-03  6.06869846e-01  6.06875626e-01  8.20173290e-01 
 2.56280000e-03  5.54018199e-01  5.54023166e-01  8.20173289e-01 
 2.57280000e-03  5.02531984e-01  5.02536339e-01  8.20173289e-01 
 2.58280000e-03  4.52614393e-01  4.52618265e-01  8.20173291e-01 
 2.59280000e-03  4.04462429e-01  4.04465902e-01  8.20173294e-01 
 2.60280000e-03  3.58266125e-01  3.58269257e-01  8.20173299e-01 
 2.61280000e-03  3.14207797e-01  3.14210630e-01  8.20173308e-01 
 2.62280000e-03  2.72461324e-01  2.72463887e-01  8.20173321e-01 
 2.63280000e-03  2.33191459e-01  2.33193774e-01  8.20173340e-01 
 2.64280000e-03  1.96553183e-01  1.96555266e-01  8.20173365e-01 
 2.65280000e-03  1.62691090e-01  1.62692954e-01  8.20173396e-01 
 2.66280000e-03  1.31738818e-01  1.31740473e-01  8.20173427e-01 
 2.67280000e-03  1.03818522e-01  1.03819975e-01  8.20173448e-01 
 2.68280000e-03  7.90403910e-02  7.90416473e-02  8.20173431e-01 
 2.69280000e-03  5.75022123e-02  5.75032759e-02  8.20173328e-01 
 2.70280000e-03  3.92889875e-02  3.92898616e-02  8.20173071e-01 
 2.71280000e-03  2.44725958e-02  2.44732826e-02  8.20172578e-01 
 2.72280000e-03  1.31115109e-02  1.31120120e-02  8.20171780e-01 
 2.73280000e-03  5.25056955e-03  5.25088627e-03  8.20170660e-01 
 2.74280000e-03  9.20795471e-04  9.20928407e-04  8.20169278e-01 
 2.75280000e-03  1.39276265e-04  1.39225686e-04  8.20167767e-01 
 2.76280000e-03  2.90909623e-03  2.90886201e-03  8.20166296e-01 
 2.77280000e-03  9.21932415e-03  9.21890577e-03  8.20165014e-01 
